"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"3186","Toy Box - Open Play!","Come in and let your inner child out. Step back in time with us into our nostalgic toy box and delight in building a village from Lincoln Logs, setup a wooden train track, and populate your imaginary forest with toy animals. Or maybe you want to color on the walls of a cardboard doll house or play a simple game of pick up sticks with a friend? All toys are non-electronic, non-battery operated, no blinky lights or beep boops! Open 24/7 for solo or small group play when you are on sensory overload and need a reset. ","Miscellaneous","Nostalgia Under the Moonlight","2024-06-20T09:00:00.000","2024-06-20T10:00:00.000","Thursday 9am-10am (1hrs)","Thu, Jun 20","9am (1hrs)","09:00","10:00"
"3209","Shitty? Or Pretty? Burner Caricatures ","Shitty? Or Pretty? Who knows but it will be fun… Running Doe will be whipping out some fast and fun portraits for you to keep. Come get your Burner Portraits. ","Miscellaneous","Dolls To The Wall","2024-06-20T09:00:00.000","2024-06-20T10:00:00.000","Thursday 9am-10am (1hrs)","Thu, Jun 20","9am (1hrs)","09:00","10:00"
"3215","Sacred Womb Circle","Come sit in circle and share about all things womb related. ","Miscellaneous","The Sacred Womb Portal","2024-06-20T11:00:00.000","2024-06-20T12:00:00.000","Thursday 11am-Noon (1hrs)","Thu, Jun 20","11am (1hrs)","11:00","12:00"
"3222","Really Big Bubbles","We have two giant bubble wands and lots of little bubble bottles, come by That's Pretty Neat! to enjoy the whimsy and fun of making bubbles!","Games","That's Pretty Neat!","2024-06-20T13:00:00.000","2024-06-20T14:00:00.000","Thursday 1pm-2pm (1hrs)","Thu, Jun 20","1pm (1hrs)","13:00","14:00"
"3224","Pretty Heathen Burlesque","Join us at Heathen Life for Pretty Heathen Burlesque: a titillating taste of lust to celebrate the Solstice. ","Performance","Heathen Life","2024-06-20T13:00:00.000","2024-06-20T23:00:00.000","Thursday 1pm-11pm (10hrs)","Thu, Jun 20","1pm (10hrs)","13:00","23:00"
"3316","3 Old Men Labyrinth Ritual (solar noon)","Enter the labyrinth.  There are four entrances; you may enter at any of them. Follow the path to the center.  There are four exits; at three of them, an Old Man stands ready to offer you an experience. (The labyrinth is open for your meditation throughout the burn.)","Gathering/Party","3 Old Men","2024-06-20T13:34:00.000","2024-06-20T14:34:00.000","Thursday 1:34pm-2:34pm (1hrs)","Thu, Jun 20","1:34pm (1hrs)","13:34","14:34"
"3285","Dreamwork","Come share your dream. Look at it through a Jungian lens. Manifest it. ","Gathering/Party","Sensua (formerly Herhisensua)","2024-06-20T14:00:00.000","2024-06-20T16:00:00.000","Thursday 2pm-4pm (2hrs)","Thu, Jun 20","2pm (2hrs)","14:00","16:00"
"3182","Wild Weed Walks","Learn how to forage for wild plants that are edible, have medicinal value, or can be used to make cordage. Hands-on classes on how to make cordage from raw wild fibers.","Class/Workshop","Unknown","2024-06-20T15:00:00.000","2024-06-20T16:00:00.000","Thursday 3pm-4pm (1hrs)","Thu, Jun 20","3pm (1hrs)","15:00","16:00"
"3260","High tea party ","Greetings traveler! \nJoin us for high tea at 4:20 each day! \nTea from our handmade herbal blends, herbal blends, sweet treats and soup from the cauldron.\n🎩Bring your fanciest hats! And a cup! \nCheers!☕","Gathering/Party","The Witches Tavern","2024-06-20T16:20:00.000","2024-06-20T17:20:00.000","Thursday 4:20pm-5:20pm (1hrs)","Thu, Jun 20","4:20pm (1hrs)","16:20","17:20"
"3261","Herbal lung butter massage","Cannabis assisted breath work ","Gathering/Party","Dabs@LabCity","2024-06-20T16:20:00.000","2024-06-20T19:10:00.000","Thursday 4:20pm-7:10pm (3hrs)","Thu, Jun 20","4:20pm (3hrs)","16:20","19:10"
