consolidated_camp_name,canonical_normalized_key,prioritized_source,present_in_forms_camps_csv,forms_camps_camp_matched,forms_camps_match_type,forms_camps_match_score,present_in_dust_camps_csv,dust_camps_forms_camp_matched,dust_camps_forms_match_type,dust_camps_forms_match_score
A Little Bit All Over The Place,a little bit all over the place,dust/camps_forms.csv,True,A Little Bit All Over The Place,source_only,1.0,True,A Little Bit All Over The Place,exact,1.0
ADA/SHUTTLE HQ,adashuttle hq,dust/camps_forms.csv,False,,none,0.0,True,ADA/SHUTTLE HQ,source_only,1.0
Abiding Grove,abiding grove,dust/camps_forms.csv,True,Abiding Grove,source_only,1.0,True,Abiding Grove,exact,1.0
Acid Communism,acid communism,dust/camps_forms.csv,True,Acid Communism,source_only,1.0,True,Acid Communism,exact,1.0
Ad Fontes,ad fontes,dust/camps_forms.csv,True,Ad Fontes,source_only,1.0,True,Ad Fontes,exact,1.0
Adventures Beyond,adventures beyond,dust/camps_forms.csv,True,adventures beyond,source_only,1.0,True,Adventures Beyond,exact,1.0
Ah-Mazing!,ahmazing,dust/camps_forms.csv,True,Ah-Mazing!,source_only,1.0,True,Ah-Mazing!,exact,1.0
Astro-nots,astronots,dust/camps_forms.csv,True,Astro-nots,source_only,1.0,True,Astro-nots,exact,1.0
Bacchanalia,bacchanalia,dust/camps_forms.csv,True,Bacchanalia,source_only,1.0,True,Bacchanalia,exact,1.0
Banana Hammocks,banana hammocks,dust/camps_forms.csv,True,Banana Hammocks,source_only,1.0,True,Banana Hammocks,exact,1.0
Bark Park,bark park,dust/camps_forms.csv,True,Bark Park,source_only,1.0,True,Bark Park,exact,1.0
Bear Necessities,bear necessities,dust/camps_forms.csv,True,Bear Necessities,source_only,1.0,True,Bear Necessities,exact,1.0
Big Fluffy Cloud,big fluffy cloud,dust/camps_forms.csv,True,Big Fluffy Cloud,source_only,1.0,True,Big Fluffy Cloud,exact,1.0
Big Spooky Energy,big spooky energy,dust/camps_forms.csv,True,Big Spooky Energy,source_only,1.0,True,Big Spooky Energy,exact,1.0
Bingopalooza,bingopalooza,dust/camps_forms.csv,True,Bingopalooza,source_only,1.0,True,Bingopalooza,exact,1.0
CAMP NOT YOUR MOM,camp not your mom,dust/camps_forms.csv,True,CAMP NOT YOUR MOM,source_only,1.0,True,CAMP NOT YOUR MOM,exact,1.0
Cameo’s Closet,cameo's closet,dust/camps_forms.csv,True,Cameo’s Closet,source_only,1.0,True,Cameo’s Closet,exact,1.0
Camp Camp,camp camp,dust/camps_forms.csv,True,Camp Camp,source_only,1.0,True,Camp Camp,exact,1.0
Camp Pretty Lights,camp pretty lights,dust/camps_forms.csv,True,Camp Pretty Lights,source_only,1.0,True,Camp Pretty Lights,exact,1.0
Camp Procrastination,camp procrastination,dust/camps_forms.csv,True,Camp Procrastination,source_only,1.0,True,Camp Procrastination,exact,1.0
Cool as Fuck!,cool as fuck,dust/camps_forms.csv,True,Cool as Fuck!,source_only,1.0,True,Cool as Fuck!,exact,1.0
Crappy Bar,crappy bar,dust/camps_forms.csv,True,Crappy Bar,source_only,1.0,True,Crappy Bar,exact,1.0
Creature Comforts,creature comforts,dust/camps_forms.csv,True,Creature Comforts,source_only,1.0,True,Creature Comforts,exact,1.0
Cult of Pawpaw,cult of pawpaw,dust/camps_forms.csv,True,Cult of Pawpaw,source_only,1.0,True,Cult of Pawpaw,exact,1.0
DPW (Dept of Public Works),dpw dept of public works,dust/camps_forms.csv,False,,none,0.0,True,DPW (Dept of Public Works),source_only,1.0
