Who is hosting? Theme Camp or Your name,What shall we call your Event?,"Not a Theme Camp? Please give us a location (art installation, lakeside, effigy, temple.. etc)",Which day(s) will your event take place?,What time will your event start?,What time will your event end?,Select a theme of your event for Pocket Guide!,Description of your play-learn-workshop-event for the Pocket Guide!,"If Materials Are Used, Will You Provide Them?",present_in_forms_events_csv,present_in_forms_grotto_events_csv,present_in_dust_events_csv,prioritized_source
Charles Barrett,Ad Fontes Twisted Disco,Hasn’t been assigned yet,"Thursday, June 4, Friday, June 5, Saturday, June 6",12:00:00 PM,02:00:00 AM,Music,Multi Genre Vinyl Driven Dance Music,N/A,TRUE,FALSE,FALSE,forms/events.csv
Psilocybe Garden,Afternoon Tea,Psilocybe Gardens,"Friday, June 5, Saturday, June 6",05:00:00 PM,06:00:00 PM,Food,Our famous homebrew beverage service 🍹 bring a cup! First come first serve 🍄,"No, please bring a cup!",TRUE,FALSE,FALSE,forms/events.csv
,Banana Lounge & Hammock Forest,Banana Hammocks,"Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",12:00:00 AM,12:00:00 AM,Event,Come relax! Open 24 hours! \nNo Shoes inside!,,FALSE,FALSE,TRUE,dust_events.csv
,Breakfast delights,A Little Bit All Over The Place,"Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",10:00:00 AM,11:00:00 AM,Food,"More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.",,FALSE,FALSE,TRUE,dust_events.csv
Swag n Dab,Broken Barbie Regenesis,,"Friday, June 5, Saturday, June 6, Sunday, June 7",10:00:00 AM,07:00:00 PM,Event,"Help build the Broken Barbie Regenisis Sculpture! Take a part, name it, make it beautiful, and add it to the collective build.",All parts and beautification tools provided.,TRUE,FALSE,FALSE,forms/events.csv
,Brother Jon's Birthday,Heathen Life,"Friday, June 5",07:00:00 PM,08:00:00 PM,Food,"Do you know Brother Jon (once known as Beef Supreme,)? Did you know he's a year older as of June 5th? Well, now you do and you are invited to his birthday party. There will be music, booze, snacks, merry making, and Brother Jon.",,FALSE,FALSE,TRUE,dust_events.csv
Khaos,Burn Arena!!,Kamp Khaos Arena,"Saturday, June 6",10:00:00 PM,01:00:00 AM,Event,"The gates of the Arena open and the Mob goes wild! Gladiator Warz has been released upon the burn! Come on down and beat your opponents senseless in the best adult bopper game of the East coast! Choose helmet, armor, and weapons to get in the ring and DOMINATE!",Kamp Khaos will provide all the necessary materials,TRUE,FALSE,TRUE,dust_events.csv
The French Quarter,Cheese Tasting,The French Quarter,"Friday, June 5",06:00:00 PM,07:30:00 PM,Food,Come to the French Quarter to taste a selection of fancy and interesting cheeses you may not have tried before!,yes,TRUE,FALSE,TRUE,dust_events.csv
Flow As You Go,"Come as you are, flow as you go - open flow with music and friends",Flow As You Go,"Friday, June 5, Saturday, June 6",12:00:00 PM,08:00:00 PM,Music,"Flow as you go is an interactive collaboration of flow, musical, and visual arts, and we invite you to come as you are, flow as you go! We have djs spinning chill music daily from 12-8pm. So bring some props and enjoy a shaded flow space, or cool off in our oasis  While our flow area will only feature live music from 12-8pm, please note we do have a flow area for use anytime of day!","Bring your own props, we may have extra but can’t guarantee that.",TRUE,FALSE,TRUE,dust_events.csv
Psilocybe Garden,Community Spark-Up,Psilocybe Garden,"Wednesday, June 3, Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",04:20:00 PM,05:00:00 PM,Other,A daily gathering of well-respected individuals,BYOB!,TRUE,FALSE,FALSE,forms/events.csv
Ananda,Drum Circle,Temple,"Thursday, June 4",06:30:00 PM,08:30:00 PM,Music,"Calling all drummers, dancers, rhythm chasers & vibe makers. We’re forming a drum circle near the temple at 6:30PM. Bring your drum.\nBring your feet.\nBring your energy.\n\nOr just bring yourself and jump in. Follow the sound. Find the circle.",We may have some spare drums,TRUE,FALSE,TRUE,dust_events.csv
,Effigy Burn 🔥,Effigy Burn Field,"Saturday, June 6",08:30:00 PM,10:30:00 PM,Event,Conclave and Effigy Burn begin shortly after dusk on Saturday,,FALSE,FALSE,TRUE,dust_events.csv
,Elven Elixirs,Reconnect Camp,"Friday, June 5, Saturday, June 6, Sunday, June 7",11:00:00 AM,03:00:00 PM,Food,Do you party too hard? Or just need some rejuvenation? Your resident elven herbalist has your back. I've got TCM teas made to bring you back to life and sweeter treats like rose falooda to lift your spirits. 11am til we run out. Come by each day for different elixirs. Water station always available.,,FALSE,FALSE,TRUE,dust_events.csv
,Fiesta pickles on a stick!,Bear Necessities,"Saturday, June 6",12:00:00 PM,01:00:00 PM,Food,"Swing by the Bear Necessities for a Fiesta pickle on a stick! loads of flavors! mild or spicy available! Will have sweet tea! available until we run out, so get there on time!",,FALSE,FALSE,TRUE,dust_events.csv
,Figure Drawing and Chill,Heathen Life,"Saturday, June 6",01:00:00 PM,02:00:00 PM,Workshop,"For those who would like to practice drawing the human form! We will draw people in different poses over varying periods of time. Paper, pencils, and clipboards will be provided. People are encouraged to volunteer to model (you don't have to be nude unless you want to!). It's just chilling and drawing.",,FALSE,FALSE,TRUE,dust_events.csv
,Fire Safety Meeting,Effigy Burn Field,"Thursday, June 4, Friday, June 5, Saturday, June 6",06:00:00 PM,07:00:00 PM,Workshop,"Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!",,FALSE,FALSE,TRUE,dust_events.csv
Sensua,Flogger Making,Sensua,"Friday, June 5",12:00:00 PM,02:00:00 PM,Workshop,Make your own flogger from recycled materials. We supply the materials.,We will provide materials,TRUE,FALSE,TRUE,dust_events.csv
,Flotilla party on the lake,Cool as Fuck!,"Sunday, June 7",01:00:00 PM,04:00:00 PM,Party,"Hey amazing people, when we last came to TTM two years ago we got a Flotilla together on the lake at 1:00 on the Sunday and about 50 rafts showed up and we had ourselves a fun ‘ol time. Let’s do that again, shall we. Same time and place, weather permitting. BYO Raft.",,FALSE,FALSE,TRUE,dust_events.csv
Flow As You Go,Flow As You Go - Grotto flow jam,Grotto - Open Community Space,"Thursday, June 4",06:00:00 PM,11:00:00 PM,Party,Open flow jam - flow as you go,,FALSE,TRUE,TRUE,dust_events.csv
Georgia Peanuts,Foreskin Restoration Workshop,Georgia Peanuts,"Saturday, June 6",01:00:00 PM,02:00:00 PM,Workshop,"In the United States the circumcision of an infant is considered normal. But some people impacted by this action come to view it as a non-consensual genital modification. Circumcision can have negative consequences: reduced sensitivity, curvature of the penis, painful erections and more. Come to this workshop to learn about foreskin restoration. These are methods to grow the skin of the penis with consistent stretching (think ear gauging) to ultimately gain enough tissue for the appearance and functionality of a foreskin. You’ll learn about the history of circumcision in the USA, the anatomy of the penis (do you know where your raphe is?) and about foreskin restoration techniques and resources. I will demonstrate manual stretching exercises and the usage of some commercially available tuggers. The tuggers will be available for people to try out after the lecture. Come with your dick questions.",Yes,TRUE,FALSE,TRUE,dust_events.csv
Flow as you go!,Free flow in the grotto,The Grotto,"Thursday, May 29",06:00:00 PM,10:00:00 PM,Music,"Flow As You Go invites you to join us for a flow jam in the grotto to kick off the burn! All props and skill levels are welcome to join. We will have djs spinning , so grab some props and come flow in the grass with us!!",Bring your props and yourself!,TRUE,FALSE,FALSE,forms/events.csv
,Get Glow'd,Reconnect Camp,"Friday, June 5",07:00:00 PM,08:30:00 PM,Workshop,"Humans already bioluminesce, just too softly to see. Let's make it visible. Come reconnect with your inner light through glow in the dark paints. \n\nPaint yourself, paint your clothes, paint your friends. Or adorn with henna for a different kind of glow.",,FALSE,FALSE,TRUE,dust_events.csv
LSD,Gifting Table,Grotto - Open Community Space,"Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",09:00:00 AM,09:00:00 PM,Workshop,Gifting Table for people to enjoy,,FALSE,TRUE,TRUE,dust_events.csv
Garden Party,Gluten Free Friday Tea Party,Garden Party,"Friday, June 5",02:00:00 PM,05:00:00 PM,Food,"Radical Inclusion through food! The Gluten Free Friday Tea Party is a celebration of and for all of us with tummy troubles! In order to avoid cross contamination, I am partnering with a bakery that describes itself as:\n\nCertified gluten-free by the National Celiac Association and entirely wheat-free, seed oil-free, nut-free, vegan, dairy-free, egg-free, seed-free & natural dyes only. \n\nWe will have all kinds of safe snacks, tea, and a social hour where you are welcome to say as much about the gory details of your tummy troubles as you want or absolutely nothing at all about them. 🩷❤️🩷","Bring your mug, cup, plate",TRUE,FALSE,TRUE,dust_events.csv
,Guided Journey into the Elven Realm,The Faerie Portal (Reconnect Camp),"Friday, June 5",12:00:00 AM,12:30:00 AM,Event,"Wind down from the party with a guided meditation. Step through the Portal with me to meet the elves and explore their bioluminescent realm as they support us in our Regenesis. We wash away the old outdated versions of us and they nurture our new growth, celebrating the You that you get to discover anew.",,FALSE,FALSE,TRUE,dust_events.csv
Big Spooky Energy,Haunted House,Big Spooky Energy,"Thursday, June 4, Friday, June 5, Saturday, June 6",10:00:00 PM,12:00:00 AM,Other,"Come check out our walk through haunted house filled with illusions, animatronics, and live actors.",Yes,TRUE,FALSE,TRUE,dust_events.csv
,How We Roll - 101,Abiding Grove,"Thursday, June 4",04:15:00 PM,05:15:00 PM,Workshop,"Come join fellow Dudes at Abiding Grove for a workshop on the finer art of rolling like a Duder. Former resident Dudeist Priest of Amsterdam, Cake Man, will guide aspiring rollers through shaping techniques and the gentle philosophy behind the craft. Bring your own supplies to roll with, though we'll have some of the Dude's business papers available on-site. Relaxed vibes and curious minds welcome.\nThursday • 4:20 PM • ~60 min",,FALSE,FALSE,TRUE,dust_events.csv
New Technique from DreamCamp,Hypnotic Regenesis,DreamCamp,"Sunday, June 7",03:30:00 PM,04:41:00 PM,Workshop,"Tap into the past, activate presence and generate the future! Immerse yourself in this guided experience of hypnotic trance, neuro-linguistic programming and heightened, conscious awareness with New Technique!","Yes, I will provide.",TRUE,FALSE,TRUE,dust_events.csv
,Ice Sales 🧊,DPW (Dept of Public Works),"Thursday, June 4, Thursday, June 4, Friday, June 5, Friday, June 5, Saturday, June 6, Saturday, June 6, Sunday, June 7, Sunday, June 7",10:00:00 AM,02:00:00 PM,Other,"7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.",,FALSE,FALSE,TRUE,dust_events.csv
,Integration Circle,Reconnect Camp,"Sunday, June 7",02:00:00 PM,04:00:00 PM,Event,"How has this burn changed you? What magic did you experience? \n\nHere you can share what's on your heart, witness and be witnessed, as we process our time on this land together in community.",,FALSE,FALSE,TRUE,dust_events.csv
Surreal Saloon,Interdimensional Moon Juice and Nail Art,The Surreal Saloon,"Friday, June 5",04:20:00 PM,05:20:00 PM,Workshop,"Come wet your whistle at the Surreal Saloon! We will be serving NON-alcoholic electrolyte fueled beverages to power you through your burn. You can also partake in our nail services to dress your lovely self up for a weekend of fancy fun. Come join us for an afternoon of moon juice, nail decor, and self-care!",Yes,TRUE,FALSE,TRUE,dust_events.csv
A Little Bit All Over The Place,Karaoke,A Little Bit All Over The Place,"Thursday, June 4, Saturday, June 6, Sunday, June 7",06:00:00 PM,09:00:00 PM,Food,We will be hosting kwraoke while we are cooking and serving food!,No materials,TRUE,FALSE,TRUE,dust_events.csv
(this would be at the grotto but our theme came is Long Furby Postage Express/ Jungle of Obscurities),Lo-Bear and Willy-D’s Burn Wedding,Grotto - Open Community Space,"Saturday, June 6",03:30:00 PM,05:00:00 PM,Party,"They’ve signed the papers, but that was just the pregame. Now Lo-Bear and Willy-D are getting BURN MARRIED! Come celebrate as they tie the knot again.",We are bringing an aerial rig and silks. It would be really lovely to get help with seats and tables through. (probably 20 chairs and 3 tables) though it is okay if that cannot happen.,TRUE,TRUE,TRUE,dust_events.csv
Wayward Bud,Make-Your-Own Ramen Bar,Wayward Bud,"Friday, June 5, Saturday, June 6",08:00:00 PM,02:00:00 AM,Food,"Warm up at Wayward Bud’s late-night Make-Your-Own Ramen Bar! Enjoy a wide selection of instant noodles, delicious toppings, and a variety of options to accommodate dietary restrictions and allergies. All self-serve.\n Just bring your own bowl and utensils!",Yes,TRUE,FALSE,TRUE,dust_events.csv
,Mandatory Conclave Safety Meeting,Effigy Burn Field,"Saturday, June 6",03:00:00 PM,04:00:00 PM,Workshop,"Mandatory conclave safety meeting at Effigy Burn Field on Saturday at 3pm.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!",,FALSE,FALSE,TRUE,dust_events.csv
,Meowgarita party!,Cool as Fuck!,"Thursday, June 4",08:00:00 PM,10:00:00 PM,Food,"Dust off your whiskers and brush off your fancy ears and slip on your finest feline flair for a night of purrfectly unhinged decadence. We’re serving custom cat-themed margaritas, glowing vibes, and enough cat ears to summon nine lives’ worth of chaos.\n\nCome dressed as a sassy housecat, ferocious tiger, mysterious sphinx, disco panther, or whatever strange creature inspires.\n\nExpect roaming cats, fuzzy fashion, and late-night mischief under the stars.\n\nNo humans allowed. Only cats in disguise.",,FALSE,FALSE,TRUE,dust_events.csv
Camp Pretty Lights,Metal Hour!,Camp Pretty Lights,"Friday, June 5",03:00:00 PM,04:00:00 PM,Party,"Need a break from the EDM while you are on the Moon? Join Camp Pretty Lights on Friday afternoon at 3pm for some METAL! \nWe'll be blasting some head-banging tunes 🎶 featuring deep cuts of our favorite bands. Bring your ID, we will have refreshments for those old enough!",n/a,TRUE,FALSE,TRUE,dust_events.csv
Cult of Pawpaw,Midday Mass,,"Friday, June 5, Saturday, June 6",12:00:00 PM,01:00:00 PM,Event,"Blessed be the fruit! Readings from sacred texts, sermons and libations, and whatever else the spirit moves us to do. We welcome both returning and new congregants, as we explain the purpose of The Cult and our Mission, educate the feeble minds of the non-believers, and give out free stuff you can eat, drink, and grow.",Yes,TRUE,FALSE,FALSE,forms/events.csv
Just People,MIMOSAS & METAL IN THE MORNING,Just People,"Saturday, June 6",11:00:00 AM,12:00:00 PM,Music,"You're invited! Join us Saturday at 11:00 a.m. as Camp Just People hosts its signature morning event — Mimosas & Metal in the Morning!\n\nCome kick back with a perfectly crafted mimosa while our resident DJ, Jazzy Bill D Funk, takes you through an electrifying hour of the finest, most unapologetically loud metal the world has to offer.\n\nExpect a refreshing drink, an unforgettable setlist, and zero chill — except for your mimosa.\n\nBlack tie and an arrogant attitude are entirely optional.",Yes,TRUE,FALSE,TRUE,dust_events.csv
,Misting station and Igloo!,Bear Necessities,"Thursday, June 4, Friday, June 5, Saturday, June 6",12:00:00 PM,05:00:00 PM,Event,will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!,,FALSE,FALSE,TRUE,dust_events.csv
Twig @ Spectral Subverse,Molten Moments: A Live Glassworking Experience,Spectral Subverse,"Friday, June 5, Saturday, June 6",07:00:00 PM,09:00:00 PM,Performance,"Take a captivating look into flame-worked glass, where fire and artistry converge. Watch raw glass rods transform under intense heat and delicate control into intricate forms. This demo highlights key tools, safety practices, and techniques—revealing how precision and temperature shape the craft. Perfect for newcomers and seasoned creatives, it offers a close-up view of chemistry and creativity in glowing harmony. Stay after to ask questions and explore the tools behind the magic.","This is a showcase, no material gifting guaranteed",TRUE,FALSE,TRUE,dust_events.csv
